emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-474,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,2,1319,6,3,51,4,2,1,5974,17001,4,13,3,1,80,2,13,3,7,7,6,7
STAFF-475,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,Yes,2,641,25,4,85,3,2,3,4736,6069,7,12,3,2,80,1,4,4,2,2,2,2
STAFF-476,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,933,1,3,57,3,2,3,5296,20156,1,17,3,2,80,1,8,3,8,7,7,7
STAFF-477,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,6,1332,2,1,98,2,2,4,6781,17078,3,23,4,2,80,0,14,3,1,0,0,0
STAFF-478,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Frequently,Yes,3,756,1,1,99,2,1,2,2174,9150,1,11,3,3,80,0,3,3,3,2,1,2
STAFF-479,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,6,845,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,3,1,0,0,0
STAFF-481,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,2,541,3,1,48,2,3,4,9699,7246,4,11,3,1,80,1,16,3,13,9,1,12
STAFF-482,No,Current Employees,Over 55,R&D,Healthcare Representative,Travel_Rarely,No,2,593,1,4,88,3,2,3,6755,2967,2,11,3,3,80,0,15,3,3,2,1,2
STAFF-483,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1171,10,4,46,4,1,3,2213,22495,3,13,3,3,80,1,10,3,7,7,1,7
STAFF-484,No,Current Employees,Under 25,Sales,Sales Representative,Non-Travel,No,3,895,9,1,39,3,1,4,2610,2851,1,24,4,3,80,0,3,2,3,2,2,2
STAFF-485,Yes,Ex-Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,Yes,2,350,5,4,34,3,1,3,2851,9150,1,13,3,2,80,0,1,3,1,0,0,0
STAFF-486,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,921,10,3,98,3,1,1,3452,17663,6,20,4,2,80,1,17,3,5,4,0,3
STAFF-487,No,Current Employees,45 - 54,R&D,Manufacturing Director,Non-Travel,No,2,1144,7,3,30,3,2,3,5258,16044,2,14,3,3,80,0,7,4,1,0,0,0
STAFF-488,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,5,143,4,1,56,3,2,2,9355,9558,1,18,3,3,80,0,8,3,8,7,7,7
STAFF-491,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,2,1046,10,4,100,2,3,4,10496,2755,6,15,3,4,80,0,20,3,4,3,1,3
STAFF-492,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,6,575,22,3,68,2,2,3,6380,6110,2,12,3,1,80,2,8,3,6,4,1,0
STAFF-493,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,5,408,9,3,42,2,1,2,2657,7551,0,16,3,4,80,0,3,3,2,2,2,2
STAFF-494,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Rarely,No,0,156,12,3,90,4,1,2,2716,25422,1,15,3,4,80,0,1,3,1,0,0,0
STAFF-495,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,1283,23,4,54,3,1,4,2201,18168,9,16,3,4,80,0,6,3,3,2,1,2
STAFF-496,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,5,755,9,3,97,2,2,2,6540,19394,9,19,3,3,80,0,10,3,1,1,0,0
STAFF-497,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1469,1,4,82,3,1,2,3816,17881,1,11,3,2,80,1,5,3,5,2,0,4
STAFF-498,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,1,304,9,2,92,3,2,4,5253,20750,1,16,3,4,80,0,7,3,7,5,0,7
STAFF-499,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,2,1261,7,2,31,2,3,3,10965,12066,8,24,4,3,80,0,26,3,5,2,0,0
STAFF-500,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,2,1178,14,3,87,3,2,4,4936,14862,4,11,3,3,80,1,18,2,7,7,0,7
STAFF-501,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,329,2,4,96,3,1,3,2543,11868,4,13,3,2,80,1,6,3,2,2,2,2
STAFF-502,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Non-Travel,Yes,3,1362,19,1,67,4,2,4,5304,4652,8,13,3,2,80,0,9,2,5,2,0,4
STAFF-505,No,Current Employees,Over 55,R&D,Manager,Travel_Rarely,Yes,2,1311,2,3,97,3,4,4,16659,23258,2,13,3,3,80,0,30,3,5,4,1,2
STAFF-507,No,Current Employees,Under 25,Sales,Sales Executive,Travel_Rarely,Yes,2,1371,10,4,77,3,2,3,4260,5915,1,12,3,4,80,1,5,4,5,2,0,3
STAFF-508,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,3,202,2,3,72,3,1,2,2476,17434,1,18,3,1,80,1,1,3,1,0,0,0
STAFF-510,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,2,575,3,3,73,3,1,1,3102,6582,0,22,4,3,80,0,7,3,6,4,0,4
STAFF-511,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,1,253,11,1,43,3,1,2,2244,24440,1,13,3,4,80,1,2,3,2,1,1,2
STAFF-513,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,164,2,2,61,2,3,3,7596,3809,1,13,3,2,80,2,10,3,10,9,9,0
STAFF-514,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,4,464,4,3,40,3,1,4,2285,3427,9,23,4,3,80,0,3,3,1,0,0,0
STAFF-515,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,1107,14,4,95,3,1,1,3034,26914,1,12,3,3,80,1,18,2,18,7,12,17
STAFF-516,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,5,759,2,4,46,3,2,2,5715,22553,7,12,3,3,80,2,8,3,5,4,1,3
STAFF-517,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,5,201,1,2,95,3,1,1,2576,20490,3,16,3,2,80,1,8,3,5,2,1,2
STAFF-518,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,2,1305,10,3,49,3,2,2,4197,21123,2,12,3,4,80,0,18,2,1,0,0,1
STAFF-520,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,3,982,12,1,59,2,4,2,14336,4345,1,11,3,3,80,1,25,3,25,10,3,9
STAFF-521,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,555,2,2,78,2,2,3,3448,13436,6,22,4,2,80,1,20,3,1,0,0,0
STAFF-522,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,4,821,5,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,2,4,2,1,2
STAFF-523,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,3,1381,4,3,72,3,2,3,6538,12740,9,15,3,1,80,1,6,3,3,2,1,2
STAFF-524,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,5,480,7,2,31,3,2,1,4306,4156,1,12,3,2,80,1,13,1,13,10,3,12
STAFF-525,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,1,313,21,4,61,3,1,4,2258,15238,7,20,4,1,80,1,8,3,3,2,1,2
STAFF-526,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,Yes,3,1473,8,3,74,3,2,3,4522,2227,4,14,3,4,80,0,8,3,5,2,0,2
STAFF-527,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,3,891,4,2,99,2,2,4,4487,12090,1,11,3,2,80,0,5,3,5,4,1,3
STAFF-529,No,Current Employees,35 - 44,R&D,Research Scientist,Non-Travel,Yes,2,1063,25,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,3,13,11,10,7
STAFF-530,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,329,1,4,98,2,1,1,2218,16193,1,12,3,3,80,1,4,3,4,2,3,2
STAFF-531,No,Current Employees,35 - 44,R&D,Manager,Travel_Frequently,Yes,3,1218,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
STAFF-532,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Frequently,No,0,906,6,3,86,4,4,1,13212,18256,9,11,3,4,80,3,36,2,7,7,7,7
STAFF-533,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,6,1082,12,2,83,3,2,3,6577,19558,0,11,3,2,80,0,6,3,5,4,4,4
STAFF-534,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,645,1,2,49,4,3,1,8392,19566,1,16,3,3,80,1,10,3,10,7,0,7
STAFF-536,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1300,17,3,79,3,2,1,4558,13535,1,12,3,4,80,1,10,3,10,0,1,8
STAFF-538,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,688,3,1,91,3,1,1,4031,9396,5,13,3,3,80,1,6,3,2,2,0,2
STAFF-543,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,Yes,4,319,3,4,39,2,3,3,7969,19609,2,14,3,3,80,0,28,3,5,4,0,4
STAFF-544,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,3,192,10,1,69,3,1,4,2654,9655,3,21,4,4,80,2,8,2,2,2,0,2
STAFF-546,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,2,1490,4,4,30,3,4,4,16555,10310,2,13,3,4,80,0,31,1,5,2,1,4
STAFF-547,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,3,532,29,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
STAFF-548,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,317,2,3,43,1,2,4,6091,24793,2,20,4,3,80,0,11,3,5,4,0,2
STAFF-549,No,Current Employees,Over 55,R&D,Manager,Travel_Rarely,No,5,422,7,1,41,3,5,1,19566,3854,5,11,3,4,80,0,33,1,29,8,11,10
STAFF-550,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,5,1485,18,3,87,3,2,3,4810,26314,2,14,3,3,80,1,19,2,10,7,0,8
STAFF-551,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,4,1368,28,4,88,2,2,4,4523,4386,0,11,3,4,80,3,7,4,6,5,0,4
STAFF-554,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Rarely,Yes,4,1448,1,1,62,3,1,2,3202,21972,1,16,3,2,80,0,6,3,5,3,1,4
STAFF-555,Yes,Ex-Employees,25 - 34,Sales,Sales Representative,Travel_Frequently,No,3,296,6,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,2,2,2,1,0
STAFF-556,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,Yes,3,1490,2,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
STAFF-558,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,No,2,1398,2,3,79,3,5,3,18041,13022,0,14,3,4,80,0,21,3,20,15,1,12
STAFF-560,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1349,23,1,90,3,1,4,2886,3032,1,22,4,2,80,2,3,1,3,2,0,2
STAFF-562,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,3,1400,3,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
STAFF-564,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,No,2,986,3,2,93,2,3,3,11935,21526,1,18,3,3,80,0,10,3,10,2,0,7
STAFF-565,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,408,25,3,71,2,1,2,2546,18300,5,16,3,2,80,0,6,4,2,2,1,1
STAFF-566,Yes,Ex-Employees,Under 25,HR,Human Resources,Travel_Rarely,No,3,489,2,1,52,2,1,4,2564,18437,1,12,3,3,80,0,1,4,1,0,0,0
STAFF-567,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,3,1398,22,3,69,3,3,1,8412,2890,0,11,3,3,80,0,10,3,9,8,7,8
STAFF-568,No,Current Employees,Over 55,Sales,Manager,Travel_Rarely,No,3,210,29,1,56,2,4,4,14118,22102,3,12,3,3,80,1,32,2,1,0,0,0
STAFF-569,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,2,1099,29,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,3,27,10,15,7
STAFF-571,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,2,1116,2,3,49,3,1,4,2564,7181,0,14,3,3,80,0,12,2,11,7,6,7
STAFF-573,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Frequently,No,5,1499,28,3,80,2,3,1,10266,2845,4,19,3,4,80,0,22,4,18,13,13,11
STAFF-574,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,2,983,2,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,3,5,0,0,4
STAFF-575,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,2,1009,2,1,51,3,4,3,17861,2288,6,13,3,3,80,0,26,1,3,2,0,1
STAFF-577,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,144,22,4,46,1,1,3,4230,19225,0,15,3,3,80,0,6,3,5,4,4,3
STAFF-578,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,3,548,8,3,42,3,2,3,3780,23428,7,11,3,3,80,0,19,3,1,0,0,0
STAFF-579,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1303,2,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,7,3,5,7
STAFF-580,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,3,1125,10,3,94,2,3,4,9071,11563,2,19,3,3,80,1,15,3,3,2,1,2
STAFF-581,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,6,1274,9,3,33,3,3,2,10648,14394,1,25,4,4,80,1,13,4,13,8,0,8
STAFF-582,Yes,Ex-Employees,25 - 34,R&D,Manager,Travel_Rarely,Yes,2,1277,15,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,4,7,6,7,7
STAFF-584,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,587,10,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,3,4,3,1,3
STAFF-585,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,3,413,7,4,57,3,1,2,2983,18398,0,14,3,1,80,0,4,3,3,2,1,2
STAFF-586,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,Yes,2,1276,16,4,72,3,3,3,7632,14295,4,12,3,3,80,0,10,3,8,7,0,0
STAFF-587,Yes,Ex-Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,2,534,20,1,66,3,3,3,9824,22908,3,12,3,1,80,0,12,3,1,0,0,0
STAFF-590,Yes,Ex-Employees,25 - 34,HR,Human Resources,Travel_Frequently,Yes,2,988,23,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
STAFF-591,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,4,1474,5,2,97,3,1,3,2093,9260,4,17,3,4,80,1,8,3,2,2,2,0
STAFF-592,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,3,635,10,2,32,3,3,4,9980,15318,1,14,3,4,80,0,10,2,10,3,9,7
STAFF-593,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Frequently,No,3,1368,4,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,2,2,1,2
STAFF-595,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,2,163,2,2,37,3,2,4,4051,19658,2,14,3,1,80,1,14,3,9,7,6,7
STAFF-597,No,Current Employees,Over 55,Sales,Manager,Travel_Rarely,No,2,1117,18,1,83,3,4,2,16835,9873,3,23,4,4,80,0,37,3,10,9,7,7
STAFF-599,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,3,267,10,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,14,3,1,10
STAFF-600,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,619,1,2,85,3,2,3,4717,18659,9,11,3,3,80,0,15,3,11,9,6,9
STAFF-601,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,302,6,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,20,6,5,13
STAFF-602,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,3,443,8,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
STAFF-604,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,2,828,2,2,77,3,2,4,6582,8346,4,13,3,3,80,0,10,4,6,5,0,5
STAFF-605,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,5,319,24,4,56,3,3,1,7406,6950,1,21,4,4,80,1,10,2,10,9,5,8
STAFF-606,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,561,2,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,4,8,7,3,7
STAFF-608,Yes,Ex-Employees,25 - 34,HR,Human Resources,Travel_Frequently,Yes,2,426,17,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
STAFF-611,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,232,19,4,34,3,2,4,4262,22645,4,12,3,2,80,2,8,4,3,2,1,2
STAFF-612,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,No,2,922,1,1,95,4,4,3,16184,22578,4,19,3,3,80,1,10,3,6,1,0,5
STAFF-613,No,Current Employees,25 - 34,Sales,Manager,Travel_Rarely,No,3,688,7,3,44,2,3,4,11557,25291,9,21,4,3,80,1,10,2,5,4,0,1
STAFF-614,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Frequently,Yes,3,1306,5,2,69,3,1,2,1878,8059,1,14,3,4,80,0,0,3,0,0,0,0
STAFF-615,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,2,1094,28,3,58,1,3,1,10932,11373,3,15,3,3,80,1,20,3,1,0,0,1
STAFF-616,No,Current Employees,35 - 44,R&D,Healthcare Representative,Non-Travel,Yes,3,509,2,1,62,2,2,3,6811,2112,2,17,3,1,80,0,10,3,8,7,0,7
STAFF-618,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,775,29,1,45,3,2,3,4306,4267,5,12,3,1,80,2,8,3,0,0,0,0
STAFF-620,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,195,1,1,80,3,2,3,4859,6698,1,16,3,4,80,0,5,3,5,4,0,3
STAFF-621,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,258,21,4,74,4,2,4,5337,19921,1,12,3,4,80,0,10,3,10,7,5,7
STAFF-622,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,3,471,24,3,66,1,1,4,2340,23213,1,18,3,2,80,0,1,1,1,0,0,0
STAFF-623,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,799,1,2,59,3,3,4,7491,23848,4,17,3,4,80,0,12,4,6,5,1,2
STAFF-624,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Frequently,No,3,1034,18,1,86,3,3,3,10527,8984,5,11,3,4,80,0,28,2,2,2,1,2
STAFF-625,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,No,2,1276,2,2,91,3,4,1,16595,5626,7,16,3,2,80,1,22,3,18,16,11,8
STAFF-626,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,6,142,9,1,69,3,3,2,8834,24666,1,13,3,4,80,1,9,3,9,5,7,7
STAFF-630,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,Yes,3,956,6,4,78,3,2,1,5577,22087,3,12,3,2,80,2,18,3,10,9,6,9
STAFF-631,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,2,1474,11,4,60,4,2,3,4707,23914,8,12,3,4,80,0,6,3,4,2,1,2
STAFF-632,No,Current Employees,Under 25,Sales,Sales Representative,Travel_Frequently,No,3,535,24,4,38,3,1,4,2400,5530,0,13,3,3,80,2,3,3,2,2,2,1
STAFF-634,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,1495,10,3,76,3,2,3,9824,22174,3,19,3,3,80,1,18,3,1,0,0,0
STAFF-635,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,446,1,2,65,3,2,2,6447,15701,6,12,3,2,80,1,8,2,6,5,4,3
STAFF-638,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,Yes,5,1245,18,4,58,2,5,3,19502,2125,1,17,3,3,80,1,31,3,31,9,0,9
STAFF-639,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,3,691,23,2,89,4,1,4,2725,21630,1,11,3,2,80,2,6,3,6,5,1,4
STAFF-641,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,703,28,1,66,3,2,2,6272,7428,1,20,4,4,80,2,6,4,5,3,1,4
STAFF-643,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,823,17,4,94,2,1,2,2127,9100,1,21,4,4,80,1,1,3,1,0,0,0
STAFF-644,No,Current Employees,45 - 54,HR,Manager,Travel_Frequently,No,2,1246,3,1,99,3,5,2,18200,7999,1,11,3,3,80,1,32,3,32,5,10,7
STAFF-645,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,1,622,13,2,40,3,1,3,2096,26376,1,11,3,3,80,0,7,3,7,4,0,6
STAFF-647,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Frequently,Yes,4,1287,7,1,55,3,1,3,2886,14168,1,16,3,4,80,1,6,3,6,3,1,2
STAFF-648,Yes,Ex-Employees,25 - 34,Sales,Sales Representative,Travel_Frequently,No,2,448,12,2,74,2,1,1,2033,14470,1,18,3,3,80,1,1,4,1,0,0,0
STAFF-649,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,3,254,1,2,83,2,1,4,3622,22794,1,13,3,4,80,1,6,3,6,5,1,3
STAFF-650,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1365,13,2,46,3,2,1,4233,11512,2,17,3,3,80,0,9,1,3,1,1,2
STAFF-652,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,538,25,1,54,2,2,4,3681,14004,4,14,3,4,80,0,9,3,3,2,0,2
STAFF-653,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,4,525,6,1,66,4,2,4,5460,6219,4,22,4,4,80,2,13,4,7,7,5,7
STAFF-655,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,5,798,6,1,66,2,1,3,2187,5013,0,12,3,3,80,2,6,2,5,3,0,3
STAFF-656,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,3,558,2,4,75,3,2,3,9602,3010,4,11,3,3,80,1,17,2,3,0,1,0
STAFF-657,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,0,959,1,4,83,2,1,2,2836,11757,1,13,3,4,80,0,1,4,1,0,0,0
STAFF-659,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,622,2,3,81,3,2,4,4089,5718,1,13,3,2,80,2,10,3,10,2,2,2
STAFF-661,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,Yes,3,782,6,2,50,2,4,4,16627,2671,4,14,3,3,80,1,21,2,1,0,0,0
STAFF-662,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,362,1,3,43,3,1,1,2619,14561,3,17,3,4,80,0,8,2,0,0,0,0
STAFF-663,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,Yes,3,1001,9,4,72,3,2,3,5679,19627,3,13,3,2,80,1,10,3,8,7,4,7
STAFF-664,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,3,1236,1,4,40,2,4,1,15402,17997,7,11,3,1,80,1,21,1,3,2,0,2
STAFF-665,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,1,1112,1,1,50,2,2,3,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
STAFF-666,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,Yes,3,204,14,3,31,3,1,3,2579,2912,1,18,3,4,80,2,8,3,8,2,0,6
STAFF-667,Yes,Ex-Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,3,1420,2,3,85,3,1,1,3041,16346,0,11,3,2,80,1,5,3,4,3,0,2
STAFF-669,No,Current Employees,Under 25,Sales,Sales Representative,Travel_Rarely,No,2,1343,22,3,49,3,1,3,3447,24444,1,11,3,3,80,0,3,3,3,2,1,2
STAFF-671,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,Yes,2,1315,3,4,35,3,5,4,19513,9358,4,12,3,1,80,1,26,4,2,2,0,1
STAFF-675,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,3,604,6,1,69,3,1,3,2773,12145,0,20,4,4,80,0,3,3,2,2,2,2
STAFF-677,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1216,8,3,39,3,2,3,7104,20431,0,12,3,4,80,0,6,3,5,0,1,2
STAFF-679,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,2,646,9,1,92,3,2,4,6322,18089,1,12,3,4,80,1,6,2,6,4,0,5
STAFF-680,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,2,160,3,3,71,3,1,3,2083,22653,1,20,4,3,80,1,1,3,1,0,0,0
STAFF-682,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,2,238,1,4,34,3,2,1,8381,7507,7,20,4,4,80,0,18,4,14,7,8,10
STAFF-683,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,1397,1,2,42,3,1,4,2691,7660,1,12,3,4,80,1,10,2,10,9,8,8
STAFF-684,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,No,4,306,26,1,100,3,2,1,4286,5630,2,14,3,4,80,2,5,3,1,1,0,0
